,place_code,ItemID,address,local,category
159,STORE_YS0160,스페인클럽 이태원점,서울 용산구 이태원로 216,(지번) 한남동 736-8,양식
160,STORE_YS0161,바스버거 용산점,서울 용산구 한강대로38길 35 태승빌딩 1층,(지번) 용산동5가 2-28,햄버거
161,STORE_YS0162,로즈앤크라운,"서울 용산구 이태원로19길 6 2,3층",(지번) 이태원동 118-23,"호프,요리주점"
162,STORE_YS0163,때가이르매 숙대점,서울 용산구 두텁바위로 8 4층,(지번) 남영동 8-2,디저트카페
163,STORE_YS0164,버뮤다삼각지,"서울 용산구 한강대로52길 19 1,2층",(지번) 한강로2가 24-6,"멕시칸,브라질"
164,STORE_YS0165,작은도쿄,서울 용산구 청파로 271 1층,(지번) 청파동3가 55-3,일식집
165,STORE_YS0166,이태원와인&브런치더젤,서울 용산구 회나무로 67,(지번) 이태원동 5-40,와인바
166,STORE_YS0167,아러바우트 한남,서울 용산구 대사관로8길 15,(지번) 한남동 665-29,커피전문점
167,STORE_YS0168,야스노야 본점,서울 용산구 후암로 8-1,(지번) 후암동 251-15,일식
168,STORE_YS0169,단골집,서울 용산구 보광로59길 14-1 2층,(지번) 이태원동 128-10,"호프,요리주점"
169,STORE_YS0170,카사코로나 서울,서울 용산구 보광로60길 7 4층,(지번) 이태원동 127-15,술집
170,STORE_YS0171,스시장,서울 용산구 한강대로 258,(지번) 남영동 127-1,"초밥,롤"
171,STORE_YS0172,용문갈비집,서울 용산구 새창로35길 3,(지번) 용문동 18-21,갈비
172,STORE_YS0173,코끼리베이글 2호점,"서울 용산구 서빙고로91길 10 1,2층",(지번) 보광동 137-2,"제과,베이커리"
173,STORE_YS0174,팬케익오리지널스토리 한남점,서울 용산구 독서당로 67,(지번) 한남동 261-6,디저트카페
174,STORE_YS0175,우다움플러스82 용산점,서울 용산구 한강대로40길 26 1층,(지번) 한강로2가 147,"육류,고기"
175,STORE_YS0176,모수서울,서울 용산구 이태원로55가길 45,(지번) 한남동 738-11,양식
176,STORE_YS0177,콘하스 한남,서울 용산구 이태원로55나길 22,(지번) 한남동 744-16,카페
177,STORE_YS0178,무진장,서울 용산구 녹사평대로 168-18,(지번) 이태원동 34-58,카페
178,STORE_YS0179,한길포장마차,서울 용산구 이촌로75길 16-9,(지번) 이촌동 301-154,실내포장마차
179,STORE_YS0180,비스트로 루틴,서울 용산구 이태원로54길 67,(지번) 한남동 684-106,양식
180,STORE_YS0181,베라피자나폴리 한남점,서울 용산구 이태원로 272 SPC빌딩 3층,(지번) 한남동 729-82,피자
181,STORE_YS0182,왕타이,서울 용산구 이태원로 151 영화빌딩 3층,(지번) 이태원1동 176-2,태국음식
182,STORE_YS0183,해방촌노아,서울 용산구 신흥로 98,(지번) 용산동2가 1-524,이탈리안
183,STORE_YS0184,올드나이브스,서울 용산구 신흥로11길 4,(지번) 용산동2가 27-5,"스테이크,립"
184,STORE_YS0185,모로코코카페,서울 용산구 신흥로 34,(지번) 용산동2가 45-9,양식
185,STORE_YS0186,리틀넥한남,서울 용산구 한남대로27길 66 1층,(지번) 한남동 727-21,양식
186,STORE_YS0187,옛집국수,서울 용산구 한강대로62길 26,(지번) 한강로1가 231-23,국수
187,STORE_YS0188,용산양꼬치,서울 용산구 백범로99길 60,(지번) 한강로1가 256,"육류,고기"
188,STORE_YS0189,고가길9공탄,서울 용산구 백범로99길 48-1,(지번) 한강로1가 252-2,"육류,고기"
189,STORE_YS0190,한남소관,서울 용산구 대사관로31길 20 지하1층,(지번) 한남동 657-96,중화요리
190,STORE_YS0191,스마일이촌떡볶이,서울 용산구 이촌로65가길 72 동인상가 102호,(지번) 이촌동 301-18,떡볶이
191,STORE_YS0192,더파이니스트,서울 용산구 회나무로 41 3층,(지번) 이태원동 226-6,칵테일바
192,STORE_YS0193,블루보틀 한남,서울 용산구 한남대로 91 나인원 한남아파트 지하1층,(지번) 한남동 829,카페
193,STORE_YS0194,팟카파우,서울 용산구 신흥로 97-6 신흥시장 2층,(지번) 용산동2가 1-510,태국음식
194,STORE_YS0195,알밤,서울 용산구 이태원로54길 47,(지번) 한남동 684-101,이탈리안
195,STORE_YS0196,선데이아보,서울 용산구 회나무로13길 52-43 1층,(지번) 이태원동 260-124,카페
196,STORE_YS0197,그레트힐란,서울 용산구 회나무로 60-1,(지번) 이태원동 229-17,카페
197,STORE_YS0198,케르반 레스토랑 이태원점,서울 용산구 이태원로 192 2층,(지번) 이태원동 127-2,터키음식
198,STORE_YS0199,후디구디,서울 용산구 한강대로84길 14 2층,(지번) 남영동 59-2,커피전문점
199,STORE_YS0200,푸시풋살룬,서울 용산구 대사관로31길 7-6 지하1층,(지번) 한남동 657-189,칵테일바
