,store_code,ItemID,address,local,category
157,STORE_YS00158,용문해장국,서울 용산구 효창원로 110,(지번) 용문동 8-95,해장국
158,STORE_YS00159,뉴오리진 동부이촌점,서울 용산구 이촌로 208,(지번) 이촌동 302-43,카페
159,STORE_YS00160,케이투원투,서울 용산구 녹사평대로26길 36,(지번) 이태원동 36-35,커피전문점
160,STORE_YS00161,오제제서울,서울 용산구 한강대로 363-2,(지번) 동자동 43-21,일식
161,STORE_YS00162,바스버거 용산점,서울 용산구 한강대로38길 35 태승빌딩 1층,(지번) 용산동5가 2-28,햄버거
162,STORE_YS00163,스페인클럽 이태원점,서울 용산구 이태원로 216,(지번) 한남동 736-8,양식
163,STORE_YS00164,용문갈비집,서울 용산구 새창로35길 3,(지번) 용문동 18-21,갈비
164,STORE_YS00165,로즈앤크라운,"서울 용산구 이태원로19길 6 2,3층",(지번) 이태원동 118-23,"호프,요리주점"
165,STORE_YS00166,아러바우트 한남,서울 용산구 대사관로8길 15,(지번) 한남동 665-29,커피전문점
166,STORE_YS00167,팬케익오리지널스토리 한남점,서울 용산구 독서당로 67,(지번) 한남동 261-6,디저트카페
167,STORE_YS00168,이태원와인&브런치더젤,서울 용산구 회나무로 67,(지번) 이태원동 5-40,와인바
168,STORE_YS00169,기차길옆초밥,서울 용산구 한강대로39길 20,(지번) 한강로2가 2-192,"초밥,롤"
169,STORE_YS00170,야스노야 본점,서울 용산구 후암로 8-1,(지번) 후암동 251-15,일식
170,STORE_YS00171,베라피자나폴리 한남점,서울 용산구 이태원로 272 SPC빌딩 3층,(지번) 한남동 729-82,피자
171,STORE_YS00172,모수서울,서울 용산구 이태원로55가길 45,(지번) 한남동 738-11,양식
172,STORE_YS00173,스시장,서울 용산구 한강대로 258,(지번) 남영동 127-1,"초밥,롤"
173,STORE_YS00174,단골집,서울 용산구 보광로59길 14-1 2층,(지번) 이태원동 128-10,"호프,요리주점"
174,STORE_YS00175,코끼리베이글 2호점,"서울 용산구 서빙고로91길 10 1,2층",(지번) 보광동 137-2,"제과,베이커리"
175,STORE_YS00176,우다움플러스82 용산점,서울 용산구 한강대로40길 26 1층,(지번) 한강로2가 147,"육류,고기"
176,STORE_YS00177,카사코로나 서울,서울 용산구 보광로60길 7 4층,(지번) 이태원동 127-15,술집
177,STORE_YS00178,콘하스 한남,서울 용산구 이태원로55나길 22,(지번) 한남동 744-16,카페
178,STORE_YS00179,비스트로 루틴,서울 용산구 이태원로54길 67,(지번) 한남동 684-106,양식
179,STORE_YS00180,해방촌노아,서울 용산구 신흥로 98,(지번) 용산동2가 1-524,이탈리안
180,STORE_YS00181,올드나이브스,서울 용산구 신흥로11길 4,(지번) 용산동2가 27-5,"스테이크,립"
181,STORE_YS00182,무진장,서울 용산구 녹사평대로 168-18,(지번) 이태원동 34-58,카페
182,STORE_YS00183,한길포장마차,서울 용산구 이촌로75길 16-9,(지번) 이촌동 301-154,실내포장마차
183,STORE_YS00184,리틀넥한남,서울 용산구 한남대로27길 66 1층,(지번) 한남동 727-21,양식
184,STORE_YS00185,왕타이,서울 용산구 이태원로 151 영화빌딩 3층,(지번) 이태원1동 176-2,태국음식
185,STORE_YS00186,용산양꼬치,서울 용산구 백범로99길 60,(지번) 한강로1가 256,"육류,고기"
186,STORE_YS00187,옛집국수,서울 용산구 한강대로62길 26,(지번) 한강로1가 231-23,국수
187,STORE_YS00188,모로코코카페,서울 용산구 신흥로 34,(지번) 용산동2가 45-9,양식
188,STORE_YS00189,고가길9공탄,서울 용산구 백범로99길 48-1,(지번) 한강로1가 252-2,"육류,고기"
189,STORE_YS00190,알밤,서울 용산구 이태원로54길 47,(지번) 한남동 684-101,이탈리안
190,STORE_YS00191,스마일이촌떡볶이,서울 용산구 이촌로65가길 72 동인상가 102호,(지번) 이촌동 301-18,떡볶이
191,STORE_YS00192,한남소관,서울 용산구 대사관로31길 20 지하1층,(지번) 한남동 657-96,중화요리
192,STORE_YS00193,블루보틀 한남,서울 용산구 한남대로 91 나인원 한남아파트 지하1층,(지번) 한남동 829,카페
193,STORE_YS00194,팟카파우,서울 용산구 신흥로 97-6 신흥시장 2층,(지번) 용산동2가 1-510,태국음식
194,STORE_YS00195,더파이니스트,서울 용산구 회나무로 41 3층,(지번) 이태원동 226-6,칵테일바
195,STORE_YS00196,케르반 레스토랑 이태원점,서울 용산구 이태원로 192 2층,(지번) 이태원동 127-2,터키음식
196,STORE_YS00197,소수,서울 용산구 한남대로20길 31,(지번) 한남동 68-25,"육류,고기"
197,STORE_YS00198,선데이아보,서울 용산구 회나무로13길 52-43 1층,(지번) 이태원동 260-124,카페
198,STORE_YS00199,그레트힐란,서울 용산구 회나무로 60-1,(지번) 이태원동 229-17,카페
199,STORE_YS00200,후디구디,서울 용산구 한강대로84길 14 2층,(지번) 남영동 59-2,커피전문점
200,STORE_YS00201,푸시풋살룬,서울 용산구 대사관로31길 7-6 지하1층,(지번) 한남동 657-189,칵테일바
201,STORE_YS00202,스시쵸우,서울 용산구 한남대로27가길 10,(지번) 한남동 729-18,"초밥,롤"
202,STORE_YS00203,어프로치커피,서울 용산구 한강대로40길 18-3,(지번) 한강로2가 154,카페
203,STORE_YS00204,유엔가든,서울 용산구 독서당로20길 7,(지번) 한남동 272-12,한식
204,STORE_YS00205,마구로센 한남본점,서울 용산구 대사관로31길 24,(지번) 한남동 657-84,참치회
205,STORE_YS00206,정,서울 용산구 청파로47나길 4,(지번) 청파동2가 67-6,중화요리
206,STORE_YS00207,강원정삼계탕,서울 용산구 원효로89길 13-10,(지번) 원효로1가 48-7,삼계탕
207,STORE_YS00208,낙하산커피,서울 용산구 한강대로46길 25 101호,(지번) 한강로2가 83-4,커피전문점
208,STORE_YS00209,열정도고깃집,서울 용산구 백범로87길 55,(지번) 원효로1가 44-11,"육류,고기"
209,STORE_YS00210,쿱한남,서울 용산구 한남대로21길 27 9층,(지번) 한남동 78,양식
210,STORE_YS00211,한남작업실,서울 용산구 이태원로55나길 7 1층,(지번) 한남동 745-2,카페
211,STORE_YS00212,오라라,서울 용산구 이태원로54길 32,(지번) 한남동 683-8,카페
212,STORE_YS00213,이치류 한남직영점,서울 용산구 한남대로10길 58-6,(지번) 한남동 319,일식
213,STORE_YS00214,도깨비코티지,서울 용산구 소월로2나길 6-1,(지번) 후암동 435,카페
214,STORE_YS00215,저스틴스테이크,서울 용산구 이태원로26길 18,(지번) 이태원동 129-5,"스테이크,립"
215,STORE_YS00216,텅앤그루브조인트,서울 용산구 보광로60길 7 1층,(지번) 이태원동 127-15,"육류,고기"
216,STORE_YS00217,후스시,서울 용산구 이촌로 245 로얄상가 2층 201호,(지번) 이촌동 301-10,"초밥,롤"
217,STORE_YS00218,어메이징타이,서울 용산구 이태원로 238-1 3층,(지번) 한남동 683-134,태국음식
218,STORE_YS00219,이여곰탕 용산점,서울 용산구 한강대로 136,(지번) 한강로2가 109-2,한정식
219,STORE_YS00220,스시우미,서울 용산구 한강대로 69 용산푸르지오써밋상가 지하1층 B101-2호,(지번) 한강로3가 95,"초밥,롤"
220,STORE_YS00221,파이프,서울 용산구 이태원로26길 19,(지번) 이태원동 130-10,피자
221,STORE_YS00222,도렐 육지2호점,서울 용산구 한강대로 100 아모레퍼시픽빌딩 지하1층,(지번) 한강로2가 424,카페
222,STORE_YS00223,널담은공간,서울 용산구 신흥로15길 18-12,(지번) 용산동2가 19-12,카페
223,STORE_YS00224,한남타츠 본점,서울 용산구 한남대로20길 37 1층,(지번) 한남동 68-15,일본식주점
224,STORE_YS00225,오월의종 단풍나무점,서울 용산구 이태원로49길 24,(지번) 한남동 743-8,"제과,베이커리"
225,STORE_YS00226,아이라이크마운틴,서울 용산구 대사관로6가길 9,(지번) 한남동 753-9,카페
226,STORE_YS00227,교양식사,서울 용산구 이태원로 238,(지번) 한남동 683-134,"육류,고기"
227,STORE_YS00228,멘야산다이메 이태원점,서울 용산구 이태원로 208 2층,(지번) 한남동 736-11,일본식라면
228,STORE_YS00229,정민,서울 용산구 이태원로54길 58-18,(지번) 한남동 683-53,중식
229,STORE_YS00230,브랑쿠시,서울 용산구 새창로 104,(지번) 용문동 28-65,카페
230,STORE_YS00231,오르조애프터8,서울 용산구 독서당로 81-1 2층,(지번) 한남동 29-6,양식
231,STORE_YS00232,스타벅스 한강진역R점,서울 용산구 이태원로 252,(지번) 한남동 683-139,커피전문점
232,STORE_YS00233,스타벅스 용산역써밋R점,서울 용산구 한강대로 69,(지번) 한강로2가 410-1,커피전문점
233,STORE_YS00234,양푼이동태탕,서울 용산구 후암로 18 1층,(지번) 후암동 244-72,"해물,생선"
234,STORE_YS00235,어글리소사이어티,서울 용산구 보광로59길 40 6층,(지번) 이태원동 66-3,칵테일바
235,STORE_YS00236,돈카츠팔월,서울 용산구 한강대로 183,(지번) 한강로1가 276-5,"돈까스,우동"
236,STORE_YS00237,몽크스부처,"서울 용산구 이태원로 228-1 3,4층",(지번) 한남동 683-126,아시아음식
237,STORE_YS00238,서지스테이크,서울 용산구 한강대로84길 11-5,(지번) 남영동 33-4,"스테이크,립"
238,STORE_YS00239,아그라 이태원점,서울 용산구 이태원로 153 덕흥빌딩 지하1층,(지번) 이태원동 172-2,인도음식
